tw,ch,en
完備上訴理由書,完备上诉理由书,perfected grounds of appeal
感化院,感化院,reformatory school
減刑因素,减刑因素,mitigating circumstances
證據的可接納性問題,证据的可接纳性问题,matter of admissibility
無定罪紀錄,无定罪纪录,clear record
有罪證據,有罪证据,evidence of guilt
強制性終身監禁刑罰,强制性终身监禁刑罚,mandatory life sentence
可信程度的指引,可信程度的指引,credibility direction
錯誤相信,错误相信,mistaken belief
罪行與判刑必須相稱的法則,罪行与判刑必须相称的法则,the principle ... proportionality between offence and sentence
犯罪意識,犯罪意识,guilty mind
沒收財產聆訊,没收财产聆讯,forfeiture hearing
“同一事件” 的原則,“同一事件” 的原则,one-transaction rule
知情和有理可依的裁決,知情和有理可依的裁决,informed and reasoned verdict
串謀敗壞公眾道德,串谋败坏公众道德,conspiracy to corrupt public morals
負刑責的不當行為,负刑责的不当行为,culpable misconduct
一名單獨開庭的法官,一名单独开庭的法官,judge sitting alone
全面的指引,全面的指引,full direction
提醒警誡,提醒警诫,reminded caution
串謀作出傾向並意圖妨礙司法公正的作為,串谋作出倾向并意图妨碍司法公正的作为,conspiracy to do an act or acts tending and intended to pervert the course of public justice
駁回……上訴,驳回……上诉,dismiss an appeal
分期執行的刑期,分期执行的刑期,consecutive sentence
瞬間的接觸,瞬间的接触,fleeting encounter
凌駕……的因素,凌驾……的因素,overriding factor
牽連罪責部分,牵连罪责部分,incriminating part
選擇不舉證,选择不举证,elects not to adduce evidence
紀律處分程序,纪律处分程序,disciplinary proceedings
施用藥物以獲得……非法的性行為,施用药物以获得……非法的性行为,administering drugs to obtain ... unlawful sexual act
縱火器,纵火器,incendiary device
非宗教式宣誓,非宗教式宣誓,affirm
沒有支持的證據,没有支持的证据,unsupported evidence
針對刑罰的上訴,针对刑罚的上诉,appeal against sentence
有預謀的罪行,有预谋的罪行,premeditated offence
推翻……命令,推翻……命令,quash ... order
在未經宣誓下所提供的證據,在未经宣誓下所提供的证据,unsworn evidence
兩項刑罰互不相容,两项刑罚互不相容,sentences incompatible
有防止犯罪作用的司法措施,有防止犯罪作用的司法措施,preventive justice
罪名,罪名,count
獲免予起訴的證人,获免予起诉的证人,immunised witness
好的及充分的理由,好的及充分的理由,good and sufficient reason
法律構定的管有,法律构定的管有,constructive possession
當前爭議問題,当前争议问题,live issue
判刑權限,判刑权限,sentencing jurisdiction
簡易程序,简易程序,summary procedure
康復令,康复令,rehabilitative order
審訊的法庭,审讯的法庭,court of trial
公義必須實踐，並且彰顯人前,公义必须实践，并且彰显人前,"justice must not only be done, but manifestly be seen to be done"
上訴通知,上诉通知,notice of appeal
企圖妨礙司法公正,企图妨碍司法公正,attempt to pervert the course of public justice
可行和可供考慮的判罰方式,可行和可供考虑的判罚方式,feasible sentencing option
非經精密策劃,非经精密策划,lack of sophistication
典據列表,典据列表,list of authorities
實際獲益,实际获益,actual gain
無爭議的證據,无争议的证据,non-contentious evidence
宣告判決,宣告判决,delivery of the judgment
失當行為,失当行为,misfeasance
倒轉舉證責任的條文,倒转举证责任的条文,reverse-onus provision
判刑選擇,判刑选择,sentencing option
容納……的釋義方式,容纳……的释义方式,admit of a construction
理由陳述書,理由陈述书,statement of reasons
加以必要的變通,加以必要的变通,mutatis mutandis
令人反感的內容,令人反感的内容,offending material
警誡供詞,警诫供词,cautioned statement
維護個人利益的供詞,维护个人利益的供词,self-serving statement
強制性刑罰,强制性刑罚,mandatory penalty
共同管有,共同管有,joint possession
判予無罪的理由,判予无罪的理由,reasons for acquittal
法定的提控時限,法定的提控时限,statute bar
循公訴程序,循公诉程序,on indictment
犯罪傾向指引,犯罪倾向指引,propensity direction
更改命令,更改命令,variation of order
經修訂的控罪書,经修订的控罪书,amended charge sheet
結案陳詞,结案陈词,closing address
串謀妨礙司法公正,串谋妨碍司法公正,conspiracy to pervert the course of justice
交替控罪,交替控罪,alternative charge
真誠地相信,真诚地相信,honest belief
對辯式訴訟的司法制度,对辩式诉讼的司法制度,adversarial system of justice
具關鍵性的謊言,具关键性的谎言,material lie
犯罪行動,犯罪行动,criminal enterprise
中斷的審訊,中断的审讯,aborted trial
法定推定,法定推定,statutory presumption
法定的提控時限,法定的提控时限,statute bar
好的及充分的理由,好的及充分的理由,good and sufficient reason
陳詞大綱,陈词大纲,skeleton submission
最低判刑級別,最低判刑级别,lowest band
經營不道德場所,经营不道德场所,keeping a disorderly house
要求覆判,要求覆判,application ... for review of sentence
在未經宣誓下所提供的證據,在未经宣誓下所提供的证据,unsworn evidence
指控人,指控人,accuser
招認口供,招认口供,confession statement
公義必須實踐，並且彰顯人前,公义必须实践，并且彰显人前,"justice must not only be done, but manifestly be seen to be done"
上訴屬當然權利,上诉属当然权利,appeal as of right
司法人員,司法人员,judicial officer
適當的量刑起點,适当的量刑起点,appropriate starting point
入境事務處的旅客嫌疑人名單,入境事务处的旅客嫌疑人名单,Immigration Watch List
排除傳聞證據的原則,排除传闻证据的原则,rule against hearsay
字跡鑑證專家,字迹鉴证专家,handwriting expert
屬宣布性質的濟助,属宣布性质的济助,declaratory relief
證物處理表,证物处理表,Exhibits Disposal List
個別的刑期,个别的刑期,length of each individual sentence
筆跡鑑證專家,笔迹鉴证专家,handwriting expert
擬檢控通知書,拟检控通知书,notice of the intended prosecution
罪行的普遍程度,罪行的普遍程度,prevalence of ... offence
更改命令,更改命令,variation of order
貶損……控方證人的品格,贬损……控方证人的品格,imputations on the character of ... the witnesses for the prosecution
押後判刑,押后判刑,defer sentence
固定刑期,固定刑期,fixed term
不相符的證據,不相符的证据,inconsistent evidence
可使罪責減輕的……的情況,可使罪责减轻的……的情况,extenuating circumstances
最低判刑級別,最低判刑级别,lowest band
不在羈留中,不在羁留中,at large
有充分理由的抱怨,有充分理由的抱怨,justifiable sense of grievance
相關因素,相关因素,relevant factor
排除傳聞證據的原則,排除传闻证据的原则,rule against hearsay
答辯提綱,答辩提纲,respondent’s skeleton arguments
導致賣淫,导致卖淫,causing prostitution
勞敎中心,劳敎中心,detention centre
串謀強行禁錮,串谋强行禁锢,conspiracy to commit forcible detention
具關鍵性的錯誤指引,具关键性的错误指引,material misdirection
罪行的相對嚴重性,罪行的相对严重性,comparative gravity of offence
證人的可信程度,证人的可信程度,credibility of witness
庭上辨認犯人欄內的被告,庭上辨认犯人栏内的被告,dock identification
為所有用意及目的,为所有用意及目的,for all intents and purposes
提交令,提交令,production order
審理上訴的法官,审理上诉的法官,appellate judge
對案件有關鍵性的謊言,对案件有关键性的谎言,material lie
給予……證據分量,给予……证据分量,attach weight to ... evidence
兒童在未經宣誓下所作的證供,儿童在未经宣誓下所作的证供,unsworn testimony of child
口頭判詞,口头判词,oral judgment
不小心騎踏單車,不小心骑踏单车,careless cycling
滋擾,滋扰,harassment
檢控證據,检控证据,prosecution evidence
失職程度,失职程度,degree of incompetence
判刑完畢,判刑完毕,perfect the sentence
輔助性或脗合性的證供,辅助性或脗合性的证供,supporting or corroborative evidence
不能避免的推論,不能避免的推论,unavoidable inference
嚴格證明,严格证明,strict proof
有資格……作……證人,有资格……作……证人,competent witness
客觀的測試,客观的测试,objective test
有版權存在,有版权存在,subsistence of copyright
請求書,请求书,letter of request
不容爭辯的證據,不容争辩的证据,indisputable evidence
主體法例,主体法例,primary legislation
為了司法公正,为了司法公正,in the interests of justice
從犯證人,从犯证人,accomplice witness
申請照准,申请照准,order in terms
質疑供詞的採納性的權利,质疑供词的采纳性的权利,right to challenge admissibility
不可推翻的唯一推論,不可推翻的唯一推论,the only irrebuttable inference
